"XDR_FIELD_NAME","XDR_DR_TYPE","XDR_FIELD_TYPE","XDR_DEFAULT_VALUE","XDR_FIELD_FORMAT","XDR_FIELD_INDEX"
ROW_ID,dr_cbs,4,,,110
USER_NUMBER,dr_domestic,4,,,1
START_TIME,dr_domestic,5,,,2
PRODUCT_ID,dr_domestic,4,,,3
SERVICE_CODE,dr_domestic,4,,,4
DATA_VOLUMN,dr_domestic,1,,,5
NET_FLAG,dr_domestic,1,,,6
RECORD_TYPE,dr_domestic,1,,,7
STD_ERR_CODE,dr_domestic,1,,,8
LATE_LINK,dr_domestic,1,,,9
INPUT_TIME,dr_domestic,5,,,10
ROW_ID,dr_domestic,4,,,11
TRADEMARK,dr_ext,4,,,1
DR_TYPE,dr_ext,4,,,2
SERVICE_ID,dr_ext,4,,,3
BILL_MONTH,dr_ext,4,,,4
RATE_PROD_ID,dr_ext,4,,,5
PRODUCT_ID,dr_ext,4,,,6
PROMOTION_PRODS,dr_ext,4,,,7
PLAN_ID,dr_ext,4,,,8
CUST_ID,dr_ext,4,,,9
ACC_ID,dr_ext,4,,,10
USER_ID,dr_ext,4,,,11
IMSI,dr_ext,4,,,12
USER_NUMBER,dr_ext,4,,,13
HPLMN1,dr_ext,4,,,14
HPLMN2,dr_ext,4,,,15
HPLMN3,dr_ext,4,,,16
VPLMN1,dr_ext,4,,,17
VPLMN2,dr_ext,4,,,18
START_TIME,dr_ext,5,,,19
DURATION,dr_ext,4,,,20
RATING_RES,dr_ext,4,,,21
ITEM_CODE1,dr_ext,4,,,22
CHARGE1,dr_ext,4,,,23
CHARGE1_DISC,dr_ext,4,,,24
ITEM_CODE2,dr_ext,4,,,25
CHARGE2,dr_ext,4,,,26
CHARGE2_DISC,dr_ext,4,,,27
ITEM_CODE3,dr_ext,4,,,28
CHARGE3,dr_ext,4,,,29
CHARGE3_DISC,dr_ext,4,,,30
ITEM_CODE4,dr_ext,4,,,31
CHARGE4,dr_ext,4,,,32
CHARGE4_DISC,dr_ext,4,,,33
USER_TYPE,dr_ext,4,,,34
ORI_BASIC_CHARGE,dr_ext,4,,,35
ORI_TOLL_CHARGE,dr_ext,4,,,36
ORI_OTHER_CHARGE,dr_ext,4,,,37
STD_BASIC_CHARGE,dr_ext,4,,,38
STD_TOLL_CHARGE,dr_ext,4,,,39
STD_OTHER_CHARGE,dr_ext,4,,,40
REDO_FLAG,dr_ext,4,,,41
ORIGINAL_FILE,dr_ext,4,,,42
PROCESS_TIME,dr_ext,5,,,43
BACKUP_DATE,dr_ext,4,,,44
SEQUENCE_NO,dr_ext,4,,,45
RESERVE1,dr_ext,4,,,46
RESERVE2,dr_ext,4,,,47
RESERVE3,dr_ext,4,,,48
RESERVE4,dr_ext,4,,,49
USER_PROPERTY,dr_ext,4,,,50
CREATE_DATE,dr_ext,5,,,51
ALL_PROMOTION_PRODS,dr_ext,4,,,52
USER_PROP_INFO,dr_ext,4,,,53
USER_BILL_DAY,dr_ext,1,,,54
CDR_QUERY_FLAG,dr_ext,1,,,55
USER_GROUP_INFO,dr_ext,4,,,56
ACC_PROD_ID,dr_ext,1,,,57
PAY_REL_NUMBER,dr_ext,4,,,58
BEGIN_DATE,dr_ext,5,,,59
END_DATE,dr_ext,5,,,60
ACCT_CYCLE_BEGIN,dr_ext,5,,,61
ACCT_CYCLE_END,dr_ext,5,,,62
NP_FLAG,dr_ext,4,,,63
LATE_LINK,dr_ext,4,,,64
INPUT_TIME,dr_ext,5,,,65
ROW_ID,dr_ext,4,,,66
TRADEMARK,dr_ggprs,4,,,1
DR_TYPE,dr_ggprs,4,,,2
SERVICE_ID,dr_ggprs,4,,,3
