XDR_FIELD_NAME,XDR_DR_TYPE,XDR_FIELD_TYPE,XDR_FIELD_INDEX
VPLMN2,dr_sms,4,19
VPLMN2,dr_vc,4,16
VPLMN2,dr_wap,4,19
VPLMN2,dr_wlan,4,19
VPLMN3,dr_addvalue,4,34
VPLMN3,dr_cbs,4,36
VPLMN3,dr_gsm,4,86
VPLMN3,dr_pbx,4,86
VQT,dr_in_gprs,2,59
VQT,dr_in_gprs_old,2,59
VT,dr_in_gprs,2,58
VT,dr_in_gprs_old,2,58
XDRCLONED_CDR_NO,dr_ggprs,4,133
XDR_SOCK_DR_TYPE,dr_in_gprs,4,1
XDR_SOCK_DR_TYPE,dr_in_gprs_old,4,1
XDR_SOCK_DR_TYPE,dr_scp,4,1
XDR_SOCK_DR_TYPE,dr_scp_old,4,1
ori_basic_charge,dr_gsm,4,51
ori_basic_charge,dr_pbx,4,51
ori_toll_charge,dr_gsm,4,52
ori_toll_charge,dr_pbx,4,52
sp_rela_TYPE,dr_gsm,4,27
sp_rela_TYPE,dr_pbx,4,27
ORIGINAL_FILE,dr_stat_log,4,1
DATE_TIME,dr_stat_log,4,2
PROC_INFO,dr_stat_log,4,3
Earlist,dr_stat_log,4,4
EndTime,dr_stat_log,4,5
ErrorStat,dr_stat_log,4,6
FileStat,dr_stat_log,4,7
FilterStat,dr_stat_log,4,8
Latest,dr_stat_log,4,9
NewTbcgCount,dr_stat_log,1,10
NoWriteCount,dr_stat_log,1,11
ReadFileName,dr_stat_log,4,12
ReadFileSize,dr_stat_log,1,13
ReadXdrCount,dr_stat_log,1,14
Speed,dr_stat_log,1,15
StartTime,dr_stat_log,4,16
SumFee,dr_stat_log,1,17
WriteFailXdrCount,dr_stat_log,1,18
WriteOkXdrCount,dr_stat_log,1,19
srcfilename,dr_stat_xfer_log,4,1
srcpath,dr_stat_xfer_log,4,2
srcfilesize,dr_stat_xfer_log,1,3
srchost,dr_stat_xfer_log,4,4
destfilename,dr_stat_xfer_log,4,5
destfilepath,dr_stat_xfer_log,4,6
destfilesize,dr_stat_xfer_log,1,7
midfilesize,dr_stat_xfer_log,1,8
desthost,dr_stat_xfer_log,4,9
datetime,dr_stat_xfer_log,4,10
ACCT_CYCLE_BEGIN,dr_ext,5,61
ACCT_CYCLE_END,dr_ext,5,62
ACC_DURATION,dr_hu,4,10
ACC_FEE,dr_hu,4,13
ACC_ID,dr_addvalue,4,12
ACC_ID,dr_cbs,4,11
ACC_ID,dr_ext,4,10
ACC_ID,dr_ggprs,4,11
ACC_ID,dr_gprs,4,11
ACC_ID,dr_gsm,4,12
ACC_ID,dr_ip,4,11
ACC_ID,dr_ismg,4,11
ACC_ID,dr_kj,4,11
ACC_ID,dr_mms,4,11
ACC_ID,dr_pbx,4,12
ACC_ID,dr_sms,4,11
ACC_ID,dr_wap,4,11
ACC_ID,dr_wlan,4,11
ACC_NUMBER,dr_hu,4,11
ACC_PROD_ID,dr_ext,1,57
ACC_VOLUME,dr_hu,4,12
AC_ADDRESS,dr_wlan,4,46
ADDRESS_HIDE,dr_mms,4,63
ADDUP_DIS_INFO,dr_ggprs,4,132
ADDUP_DIS_INFO,dr_in_gprs,2,49
ADDUP_DIS_INFO,dr_in_gprs_old,2,49
ADDUP_FLAG,dr_addvalue,4,116
ADDUP_INFO,dr_ggprs,4,131
ADDUP_INFO,dr_in_gprs,2,48
ADDUP_INFO,dr_in_gprs_old,2,48
ADDUP_MIDDLE_INFO,dr_in_gprs,4,14
ADDUP_MIDDLE_INFO,dr_in_gprs_old,4,14
ADDUP_MIDDLE_INFO,dr_scp,4,29
ADDUP_MIDDLE_INFO,dr_scp_old,4,29
ADDUP_RES,dr_addvalue,4,58
ADDUP_RES,dr_cbs,4,58
ADDUP_RES,dr_ggprs,4,110
ADDUP_RES,dr_gprs,4,60
ADDUP_RES,dr_gsm,4,57
ADDUP_RES,dr_pbx,4,57
ADDUP_RES,dr_scp,4,11
ADDUP_RES,dr_scp_old,4,11
ADDUP_RES_VAL,dr_addvalue,4,49
ADDUP_RES_VAL,dr_cbs,4,51
ADDUP_RES_VAL,dr_ggprs,4,41
ADDUP_RES_VAL,dr_gprs,4,39
ADDUP_RES_VAL,dr_gsm,4,48
ADDUP_RES_VAL,dr_ip,4,36
ADDUP_RES_VAL,dr_ismg,4,38
ADDUP_RES_VAL,dr_kj,4,35
ADDUP_RES_VAL,dr_mms,4,37
ADDUP_RES_VAL,dr_pbx,4,48
ADDUP_RES_VAL,dr_sms,4,36
ADDUP_RES_VAL,dr_wap,4,37
ADDUP_RES_VAL,dr_wlan,4,37
ALL_PROMOTION_PRODS,dr_addvalue,4,108
ALL_PROMOTION_PRODS,dr_cbs,4,97
ALL_PROMOTION_PRODS,dr_ext,4,52
ALL_PROMOTION_PRODS,dr_ggprs,4,135
ALL_PROMOTION_PRODS,dr_gprs,4,128
ALL_PROMOTION_PRODS,dr_gsm,4,104
ALL_PROMOTION_PRODS,dr_ip,4,76
